item_name,grid_x,grid_y,pixel_x,pixel_y
Dagger of Dire Hatred,0,0,0,0
Bow of Deep Enchantment,1,0,40,0
Staff of the Fundamental Core,2,0,80,0
Wand of Retribution,3,0,120,0
Sword of Majesty,4,0,160,0
Kusanagi,5,0,200,0
Soulforged Blades,6,0,240,0
Longbow of the Midnight Diamond,7,0,280,0
Spellblade of the Everlasting Death,8,0,320,0
Morning Star of Reckoning,9,0,360,0
Gravelord's Flail,10,0,400,0
Godslayer Tachi,11,0,440,0
Cloak of Nightmares,12,0,480,0
Quiver of the Autumn King,13,0,520,0
Burning Retribution Spell,14,0,560,0
Tome of Hallowed Language,15,0,600,0
Helm of the Tribune,16,0,640,0
Shield of Orcish Regalia,17,0,680,0
Seal of Invocation,18,0,720,0
Necrofish Poison,19,0,760,0
Mindwaster Skull,20,0,800,0
Depthchaser Trap,21,0,840,0
Dimensiongate Orb,22,0,880,0
Prism of Reveries,23,0,920,0
Scepter of the Firmament,24,0,960,0
Dynastic Star,25,0,1000,0
Virtuous Wakizashi,26,0,1040,0
Nebular Lute,27,0,1080,0
Grandmaster Mace,28,0,1120,0
Sonic Wave Sheath,29,0,1160,0
Sigil of the Rhino,30,0,1200,0
Leviathan Armor,31,0,1240,0
Robe of the Ancient Intellect,32,0,1280,0
Annihilation Armor,33,0,1320,0
Ring of Transcendent Health,0,1,0,40
Ring of Transcendent Magic,1,1,40,40
Ring of Transcendent Attack,2,1,80,40
Ring of Transcendent Defense,3,1,120,40
Ring of Transcendent Speed,4,1,160,40
Ring of Transcendent Dexterity,5,1,200,40
Ring of Transcendent Vitality,6,1,240,40
Ring of Transcendent Wisdom,7,1,280,40
Corsair Ring,8,1,320,40
Corsair Ring (shiny),9,1,360,40
Scallywag Slurp Pet Skin,10,1,400,40
Bramble Bow,11,1,440,40
Cocoon Quiver,12,1,480,40
Cocoon Quiver (shiny),13,1,520,40
Bramble Bow (shiny),14,1,560,40
Sapling Buddy Pet Skin,15,1,600,40
Poison Fang Dagger,16,1,640,40
Spider Shuriken,17,1,680,40
Spider's Eye Ring,18,1,720,40
Spider's Eye Ring (shiny),19,1,760,40
Spider Shuriken (shiny),20,1,800,40
Poison Fang Dagger (shiny),21,1,840,40
Eggshell Spider Pet Skin,22,1,880,40
Staff of the Crystal Serpent,23,1,920,40
Cracked Crystal Skull,24,1,960,40
Robe of the Tlatoani,25,1,1000,40
Crystal Bone Ring,26,1,1040,40
Crystal Bone Ring (shiny),27,1,1080,40
Robe of the Tlatoani (shiny),28,1,1120,40
Cracked Crystal Skull (shiny),29,1,1160,40
Staff of the Crystal Serpent (shiny),30,1,1200,40
Baby Basilisk Pet Skin,31,1,1240,40
Orb of Sweet Demise,32,1,1280,40
Honey Scepter,33,1,1320,40
Honey Scepter (shiny),0,2,0,80
Orb of Sweet Demise (shiny),1,2,40,80
Snakeskin Shield,2,2,80,80
Wand of the Bulwark,3,2,120,80
Snake Charmer Pungi,4,2,160,80
Snakeskin Armor,5,2,200,80
Snake Eye Ring,6,2,240,80
Snakeskin Shield (shiny),7,2,280,80
Wand of the Bulwark (shiny),8,2,320,80
Snake Charmer Pungi (shiny),9,2,360,80
Snakeskin Armor (shiny),10,2,400,80
Snake Eye Ring (shiny),11,2,440,80
Mini Stheno Skin,12,2,480,80
Mini Flying Stheno Pet Skin,13,2,520,80
Staff of Extreme Prejudice,14,2,560,80
Cloak of the Planewalker,15,2,600,80
Mace of the Celestial Forest,16,2,640,80
Sprite Wand,17,2,680,80
Staff of Extreme Prejudice (shiny),18,2,720,80
Cloak of the Planewalker (shiny),19,2,760,80
Mace of the Celestial Forest (shiny),20,2,800,80
Sprite Wand (shiny),21,2,840,80
Mini Limon Pet Skin,22,2,880,80
Sprite Star Pet Skin,23,2,920,80
Arcane Rapier,24,2,960,80
Amber Encrusted Helmet,25,2,1000,80
Sandstone Seal,26,2,1040,80
Arcane Rapier (shiny),27,2,1080,80
Amber Encrusted Helmet (shiny),28,2,1120,80
Sandstone Seal (shiny),29,2,1160,80
Resplendent Bow,30,2,1200,80
Embellished Quiver,31,2,1240,80
Ornate Armor,32,2,1280,80
Aquamarine Amulet,33,2,1320,80
Sand Wanderer Trickster Skin,0,3,0,120
Spirit Staff,1,3,40,120
Enchantment Orb,2,3,80,120
Woodland Robe,3,3,120,120
Fairy Ring,4,3,160,120
Shield of Flowing Clarity,5,3,200,120
Spirit Staff (shiny),6,3,240,120
