Loot Type,Item Name,Points,Dungeon
Tier 14 Weapon,Dagger of Dire Hatred,1.0,Tops
Tier 14 Weapon,Bow of Deep Enchantment,1.0,Tops
Tier 14 Weapon,Staff of the Fundamental Core,1.0,Tops
Tier 14 Weapon,Wand of Retribution,1.0,Tops
Tier 14 Weapon,Sword of Majesty,1.0,Tops
Tier 14 Weapon,Kusanagi,1.0,Tops
Tier 14 Weapon,Soulforged Blades,1.0,Tops
Tier 14 Weapon,Longbow of the Midnight Diamond,1.0,Tops
Tier 14 Weapon,Spellblade of the Everlasting Death,1.0,Tops
Tier 14 Weapon,Morning Star of Reckoning,1.0,Tops
Tier 14 Weapon,Gravelord's Flail,1.0,Tops
Tier 14 Weapon,Godslayer Tachi,1.0,Tops
Tier 7 Ability,Cloak of Nightmares,1.0,Tops
Tier 7 Ability,Quiver of the Autumn King,1.0,Tops
Tier 7 Ability,Burning Retribution Spell,1.0,Tops
Tier 7 Ability,Tome of Hallowed Language,1.0,Tops
Tier 7 Ability,Helm of the Tribune,1.0,Tops
Tier 7 Ability,Shield of Orcish Regalia,1.0,Tops
Tier 7 Ability,Seal of Invocation,1.0,Tops
Tier 7 Ability,Necrofish Poison,1.0,Tops
Tier 7 Ability,Mindwaster Skull,1.0,Tops
Tier 7 Ability,Depthchaser Trap,1.0,Tops
Tier 7 Ability,Dimensiongate Orb,1.0,Tops
Tier 7 Ability,Prism of Reveries,1.0,Tops
Tier 7 Ability,Scepter of the Firmament,1.0,Tops
Tier 7 Ability,Dynastic Star,1.0,Tops
Tier 7 Ability,Virtuous Wakizashi,1.0,Tops
Tier 7 Ability,Nebular Lute,1.0,Tops
Tier 7 Ability,Grandmaster Mace,1.0,Tops
Tier 7 Ability,Sonic Wave Sheath,1.0,Tops
Tier 7 Ability,Sigil of the Rhino,1.0,Tops
Tier 14 Armor,Leviathan Armor,1.0,Tops
Tier 14 Armor,Robe of the Ancient Intellect,1.0,Tops
Tier 14 Armor,Annihilation Armor,1.0,Tops
